Date,equity
2019-01-01,1000000.0
2019-01-02,999400.0
2019-01-03,986489.8066305876
2019-01-04,993195.6147035694
2019-01-07,1004272.8626782997
2019-01-08,1009953.5369067168
2019-01-09,1027095.1229154189
2019-01-10,1023913.8432513946
2019-01-11,1023718.2958878934
2019-01-14,1010530.6354618259
2019-01-15,1023255.011394709
2019-01-16,1023760.216005659
2019-01-17,1028223.4679782351
2019-01-18,1030014.9880213222
2019-01-21,1034947.4815330304
2019-01-22,1034176.0765044249
2019-01-23,1020867.6056463665
2019-01-24,1026530.1763227946
2019-01-25,1028191.1282877418
2019-01-28,1017127.9672547114
2019-01-29,1021868.6680857302
2019-01-30,1024387.9686857855
2019-01-31,1042133.2780332536
2019-02-01,1046174.4629069986
2019-02-04,1049082.22400757
2019-02-05,1048321.2354692823
2019-02-06,1056840.0912335094
2019-02-07,1055409.0924197754
2019-02-08,1041205.5154764242
2019-02-11,1031816.3077572968
2019-02-12,1034733.8907284351
2019-02-14,1024404.1866285279
2019-02-15,1031854.4815846359
2019-02-18,1022863.2829665366
2019-02-19,1011044.717038043
2019-02-20,1020430.9689786561
2019-02-21,1019922.7184046858
2019-02-22,1023275.1897675936
2019-02-25,1031448.805479789
2019-02-26,1034978.8552563792
2019-02-27,1037576.9671979685
2019-02-28,1038524.539198562
2019-03-01,1049478.766212345
2019-03-05,1065533.5482016942
2019-03-06,1072104.5244336221
2019-03-07,1072080.7084529377
2019-03-08,1079379.918590537
2019-03-11,1094195.9585267988
2019-03-12,1100773.6917399014
2019-03-13,1095251.4591747986
2019-03-14,1100716.9009465256
2019-03-15,1103626.6146386971
2019-03-18,1110389.036605227
2019-03-19,1125374.8025914922
2019-03-20,1115016.1412290651
2019-03-22,1117819.1890713726
2019-03-25,1108406.3056055019
2019-03-26,1123610.5554971977
2019-03-27,1117205.4921220762
2019-03-28,1128627.9827385636
2019-04-01,1124404.8105044633
2019-04-02,1130110.1458442914
2019-04-03,1125982.750385438
2019-04-04,1115322.0498257643
2019-04-05,1122638.6212378123
2019-04-08,1121793.708583749
2019-04-09,1128767.5344683432
2019-04-10,1121252.5455679302
2019-04-11,1123449.588180236
2019-04-12,1131443.2185072168
2019-04-15,1140000.4221843116
2019-04-16,1144602.8147247354
2019-04-18,1146283.5128753001
