Date,equity
2017-10-03,1000000.0
2017-10-04,999400.0
2017-10-05,999798.62520251
2017-10-06,1011759.7552169252
2017-10-09,1011849.4976589468
2017-10-10,1018103.8614242618
2017-10-11,1019827.012072148
2017-10-12,1038802.2790075222
2017-10-13,1040480.2489619754
2017-10-16,1039764.4073388731
2017-10-17,1037499.8518882586
2017-10-18,1032301.4677204686
2017-10-19,1025202.5969915491
2017-10-23,1029046.147471072
2017-10-24,1033271.6158454865
2017-10-25,1045734.4424156162
2017-10-26,1051215.9840178497
2017-10-27,1048810.902202967
2017-10-30,1051381.4860817604
2017-10-31,1065899.4507077737
2017-11-01,1074253.0362499557
2017-11-02,1069037.5505959988
2017-11-03,1075796.5191366475
2017-11-06,1079425.025878123
2017-11-07,1081100.7556414364
2017-11-08,1103974.5344471706
2017-11-09,1099786.4347080113
2017-11-10,1098577.447066442
2017-11-13,1101313.8496232664
2017-11-14,1100623.1531784085
2017-11-15,1095060.1467541629
2017-11-16,1104085.5311559148
2017-11-17,1095869.8315822317
2017-11-20,1097849.7679224503
2017-11-21,1093295.8092380886
2017-11-22,1088531.5842166536
2017-11-23,1092322.779082894
2017-11-24,1095064.7036174573
2017-11-27,1108588.7802669592
2017-11-28,1111642.9078922258
2017-11-29,1092995.1079247892
2017-11-30,1074514.6030270339
2017-12-01,1071520.3604952127
2017-12-04,1072105.1143681782
2017-12-05,1073710.9348468315
2017-12-06,1073378.171541936
2017-12-07,1080181.5957684666
2017-12-08,1096547.2839716584
2017-12-11,1103478.563738718
2017-12-12,1091490.598206348
2017-12-13,1085023.0326783927
2017-12-14,1100194.2198403105
2017-12-15,1102989.4317192156
2017-12-18,1101118.5793986786
2017-12-19,1107236.8120230534
2017-12-20,1102722.321959545
2017-12-21,1097791.2042942685
2017-12-22,1102837.7028912855
2017-12-26,1109148.4859847813
2017-12-27,1102781.4519479093
2017-12-28,1099027.277297452
2017-12-29,1107866.7754814497
2018-01-01,1102276.8547338163
