Date,equity
2019-01-01,1000000.0
2019-01-02,999400.0
2019-01-03,974910.2464590935
2019-01-04,990896.7505774625
2019-01-07,1010284.3535136607
2019-01-08,999060.141307199
2019-01-09,996338.9273342928
2019-01-10,1006883.08723651
2019-01-11,1006202.7837432834
2019-01-14,989536.1435910094
2019-01-15,991236.8604592454
2019-01-16,994978.4040775005
2019-01-17,985114.3802091884
2019-01-18,981032.559249829
2019-01-21,974910.2464590935
2019-01-22,970828.5929590556
2019-01-23,956883.0830500269
2019-01-24,952121.2935160839
2019-01-25,940216.5266274136
2019-01-28,942257.1859181111
2019-01-29,941576.9661545453
2019-01-30,942937.5731409984
2019-01-31,949740.2731546212
2019-02-01,952801.4295499889
2019-02-04,931953.333755189
2019-02-05,927221.5275740187
2019-02-06,939956.6964932346
2019-02-07,937160.3793993214
2019-02-08,924488.9417264169
2019-02-11,918346.4951817062
2019-02-12,916454.3663079552
2019-02-14,909194.6052255501
2019-02-15,920216.9857024152
2019-02-18,902325.1383694197
2019-02-19,902899.8464810211
2019-02-20,909411.316408723
2019-02-21,912600.0033666778
2019-02-22,906079.0223414445
2019-02-25,910101.5504457682
2019-02-26,903726.1936002009
2019-02-27,904227.44091977
2019-02-28,908555.4534361939
2019-03-01,910368.1461769819
2019-03-05,921365.3283977836
2019-03-06,927194.3642412955
2019-03-07,937747.6728726277
2019-03-08,940154.7257230716
2019-03-11,946553.0784198592
2019-03-12,954543.3480739659
2019-03-13,954913.0724708291
2019-03-14,953803.8631698753
2019-03-15,950280.7194579811
2019-03-18,959050.3778925719
2019-03-19,973249.258322596
2019-03-20,970186.7394916721
2019-03-22,963259.2936209748
2019-03-25,951612.3836219287
2019-03-26,959892.3838977463
2019-03-27,955567.5309146814
2019-03-28,974027.6168777943
2019-04-01,975824.4863235821
2019-04-02,981300.8844322541
2019-04-03,975531.4635920994
2019-04-04,971080.982898585
2019-04-05,970256.6893397102
2019-04-08,964322.3393353396
2019-04-09,976026.180632306
2019-04-10,970751.1950225942
2019-04-11,976355.6866985331
2019-04-12,1007180.7431784017
2019-04-15,1006356.590524409
2019-04-16,1011961.0822003479
2019-04-18,1002730.0511275646
2019-04-22,994158.4549018814
2019-04-23,999433.2291542706
2019-04-24,1009488.4833334874
2019-04-25,1001905.6871162491
