Date,equity
2019-01-01,1000000.0
2019-01-02,1000000.0
2019-01-03,1000000.0
2019-01-04,1000000.0
2019-01-07,1000000.0
2019-01-08,1000000.0
2019-01-09,1000000.0
2019-01-10,1000000.0
2019-01-11,1000000.0
2019-01-14,1000000.0
2019-01-15,1000000.0
2019-01-16,1000000.0
2019-01-17,1000000.0
2019-01-18,1000000.0
2019-01-21,1000000.0
2019-01-22,1000000.0
2019-01-23,1000000.0
2019-01-24,1000000.0
2019-01-25,1000000.0
2019-01-28,1000000.0
2019-01-29,1000000.0
2019-01-30,1000000.0
2019-01-31,1000000.0
2019-02-01,1000000.0
2019-02-04,999400.0
2019-02-05,1000465.0026817115
2019-02-06,1012134.0520039877
2019-02-07,1018975.3689491175
2019-02-08,1002075.7559600582
2019-02-11,988714.4566626536
2019-02-12,985054.9447338359
2019-02-14,966723.8986329564
2019-02-15,965253.9625842588
2019-02-18,957353.932397797
2019-02-19,961529.1229792645
2019-02-20,970831.6555647606
2019-02-21,981961.7036338816
2019-02-22,991603.2056867576
2019-02-25,998912.3256770261
2019-02-26,1000954.2449536943
2019-02-27,996256.9365858347
2019-02-28,992885.9537737113
2019-03-01,1003287.5731338949
2019-03-05,1020275.8922281202
2019-03-06,1027328.2853614538
2019-03-07,1025243.2803160283
2019-03-08,1021041.3306771646
2019-03-11,1035590.3620877907
2019-03-12,1042553.5127996703
2019-03-13,1043993.0763416876
2019-03-14,1041833.9423654616
2019-03-15,1043829.7400102776
2019-03-18,1045457.1024422972
2019-03-19,1052526.5156243122
2019-03-20,1048701.0746911913
2019-03-22,1044503.041553508
2019-03-25,1034302.0835793299
2019-03-26,1044824.9301831347
2019-03-27,1039378.9226779982
2019-03-28,1052297.3921973736
2019-04-01,1066017.846665828
2019-04-02,1070859.324069555
2019-04-03,1066987.1092878685
2019-04-04,1068488.8901288912
2019-04-05,1078990.2727939475
2019-04-08,1074560.2712392283
2019-04-09,1081752.9136777818
2019-04-10,1082060.8328102068
2019-04-11,1083648.2725224553
2019-04-12,1092070.7169080263
2019-04-15,1102100.305226101
2019-04-16,1104722.5482756877
2019-04-18,1103785.977038534
2019-04-22,1094226.9186043579
2019-04-23,1086090.783695299
2019-04-24,1095141.1649017148
2019-04-25,1093647.218179408
2019-04-26,1098463.425429024
2019-04-30,1097758.5071748828
2019-05-02,1096171.431483258
2019-05-03,1091157.6379384468
2019-05-06,1082581.0549872061
2019-05-07,1079363.772470821
2019-05-08,1070172.7258640844
2019-05-09,1068393.3222988043
2019-05-10,1065834.0342256923
2019-05-13,1044201.9692015421
2019-05-14,1047510.2591331366
2019-05-15,1044639.7710809197
2019-05-16,1053960.955582068
2019-05-17,1063685.4242360014
2019-05-20,1085961.266996642
2019-05-21,1069779.2267692438
2019-05-22,1074597.6771861282
2019-05-23,1073682.4037926097
2019-05-24,1084415.1213737403
2019-05-27,1093835.3009934477
2019-05-28,1094483.5174259993
2019-05-29,1088114.193144722
2019-05-30,1087781.4543577838
2019-05-31,1086590.1514207064
2019-06-03,1109355.028493483
2019-06-04,1098800.0789481068
