Date,equity
2019-01-01,1000000.0
2019-01-02,1000000.0
2019-01-03,1000000.0
2019-01-04,1000000.0
2019-01-07,1000000.0
2019-01-08,1000000.0
2019-01-09,1000000.0
2019-01-10,1000000.0
2019-01-11,1000000.0
2019-01-14,1000000.0
2019-01-15,1000000.0
2019-01-16,1000000.0
2019-01-17,1000000.0
2019-01-18,1000000.0
2019-01-21,1000000.0
2019-01-22,1000000.0
2019-01-23,1000000.0
2019-01-24,1000000.0
2019-01-25,1000000.0
2019-01-28,1000000.0
2019-01-29,1000000.0
2019-01-30,1000000.0
2019-01-31,1000000.0
2019-02-01,1000000.0
2019-02-04,999400.0
2019-02-05,1000465.0026817115
2019-02-06,1012134.0520039877
2019-02-07,1018975.3689491175
2019-02-08,1002075.7559600582
2019-02-11,988714.4566626536
2019-02-12,985054.9447338359
2019-02-14,966723.8986329564
2019-02-15,965253.9625842588
2019-02-18,957353.932397797
2019-02-19,961529.1229792645
2019-02-20,970831.6555647606
2019-02-21,981961.7036338816
2019-02-22,991603.2056867576
2019-02-25,998912.3256770261
2019-02-26,1000954.2449536943
2019-02-27,996256.9365858347
2019-02-28,992885.9537737113
2019-03-01,1003287.5731338949
2019-03-05,1020272.1989982842
2019-03-06,1025228.3621400329
2019-03-07,1025160.9763181437
2019-03-08,1020329.8512179652
2019-03-11,1033344.2356316678
2019-03-12,1041472.1732057702
2019-03-13,1039402.0498573817
2019-03-14,1037256.3319725168
2019-03-15,1040334.6923222387
2019-03-18,1038379.7641416517
2019-03-19,1045659.48999057
2019-03-20,1043383.7427984108
2019-03-22,1039889.1345489117
2019-03-25,1028109.9972283547
2019-03-26,1035234.1832143262
2019-03-27,1028607.3628296286
2019-03-28,1041336.2772550319
2019-04-01,1056464.4935176687
2019-04-02,1062093.096906816
2019-04-03,1057831.8485038013
2019-04-04,1058688.0308436484
2019-04-05,1065651.3790284654
2019-04-08,1061554.2244346356
2019-04-09,1069710.0766871027
2019-04-10,1072250.7137393341
2019-04-11,1076212.900034721
2019-04-12,1086374.4051801213
2019-04-15,1094499.5968284647
2019-04-16,1097045.6402930839
2019-04-18,1098694.3458248456
2019-04-22,1089299.4166218468
2019-04-23,1085123.4939790566
2019-04-24,1093935.5071774828
2019-04-25,1091517.316382992
2019-04-26,1096474.924851675
2019-04-30,1094007.9433077613
2019-05-02,1089449.8133141003
2019-05-03,1081080.484590823
2019-05-06,1071101.8249503414
2019-05-07,1068105.8268361369
2019-05-08,1062933.7422130967
2019-05-09,1059943.4785722198
2019-05-10,1059397.0500224212
2019-05-13,1037374.2618962495
2019-05-14,1043938.186191896
2019-05-15,1036464.6352410475
2019-05-16,1048220.5336514506
2019-05-17,1055959.987465144
2019-05-20,1086273.743128608
2019-05-21,1072298.0504300292
2019-05-22,1070908.7685737696
2019-05-23,1070779.3631853154
2019-05-24,1082142.6759664482
2019-05-27,1090820.9110329319
2019-05-28,1094825.9826311872
2019-05-29,1089609.537184817
2019-05-30,1088143.6449763763
2019-05-31,1087822.2208857855
2019-06-03,1110471.9832851829
2019-06-04,1101277.6946633446
