Date,equity
2019-01-01,1000000.0
2019-01-02,999400.0
2019-01-03,988512.1124812254
2019-01-04,993195.2779632292
2019-01-07,996246.1200001882
2019-01-08,1000131.2883587898
2019-01-09,1002781.6970495635
2019-01-10,1002686.9180016018
2019-01-11,999636.2519942425
2019-01-14,993104.1786912861
2019-01-15,1004546.3360817926
2019-01-16,1004925.1536566428
2019-01-17,1004243.539869804
2019-01-18,999763.1645338561
2019-01-21,998253.810652477
2019-01-22,995725.6918247726
2019-01-23,991502.4064628317
2019-01-24,990626.8775192832
2019-01-25,982634.1648000818
2019-01-28,968294.4767374654
2019-01-29,972175.0672113354
2019-01-30,974976.9254550657
2019-01-31,985300.3950459048
2019-02-01,993917.3048602425
2019-02-04,988995.3345117988
2019-02-05,990759.9097259426
2019-02-06,1003258.3932732933
2019-02-07,1008770.9347867481
2019-02-08,994720.6652749728
2019-02-11,982828.4864692661
2019-02-12,983294.8896406498
2019-02-14,975393.9093537726
2019-02-15,971011.3448129022
2019-02-18,963244.5169743439
2019-02-19,962388.9423018972
2019-02-20,975387.9891532366
2019-02-21,982460.2871379709
2019-02-22,988512.566121977
2019-02-25,995483.2477373721
2019-02-26,995371.8048846656
2019-02-27,994949.0126736509
2019-02-28,994841.3752078512
2019-03-01,1002988.3683964105
2019-03-05,1019006.7826560606
2019-03-06,1024154.5288649241
2019-03-07,1019453.4562989525
2019-03-08,1017001.0014517792
2019-03-11,1035723.1027355504
2019-03-12,1044045.2554351062
2019-03-13,1040669.804010075
2019-03-14,1043007.6029306358
2019-03-15,1047724.8503954194
2019-03-18,1048483.6039637838
2019-03-19,1052786.4129739578
2019-03-20,1044472.3669024534
2019-03-22,1042196.203623784
2019-03-25,1037478.1127901698
2019-03-26,1048283.7659005427
2019-03-27,1046638.9759621037
2019-03-28,1055057.6135274707
2019-04-01,1066405.8698245243
2019-04-02,1066933.1178206718
2019-04-03,1060844.4941178916
2019-04-04,1058630.6889954747
2019-04-05,1065791.4428525656
2019-04-08,1061365.5095927026
2019-04-09,1067076.8289272266
2019-04-10,1063162.6877987229
2019-04-11,1065833.7581370457
2019-04-12,1071360.3393314895
2019-04-15,1077787.2531884522
2019-04-16,1084919.2945781238
2019-04-18,1079950.8577292897
2019-04-22,1068242.5600523632
2019-04-23,1066203.934184615
