Date,equity
2019-01-01,1000000.0
2019-01-02,1000000.0
2019-01-03,1000000.0
2019-01-04,1000000.0
2019-01-07,1000000.0
2019-01-08,1000000.0
2019-01-09,1000000.0
2019-01-10,1000000.0
2019-01-11,1000000.0
2019-01-14,1000000.0
2019-01-15,1000000.0
2019-01-16,1000000.0
2019-01-17,1000000.0
2019-01-18,1000000.0
2019-01-21,1000000.0
2019-01-22,1000000.0
2019-01-23,1000000.0
2019-01-24,1000000.0
2019-01-25,1000000.0
2019-01-28,1000000.0
2019-01-29,1000000.0
2019-01-30,1000000.0
2019-01-31,1000000.0
2019-02-01,1000000.0
2019-02-04,999400.0
2019-02-05,998080.3120869386
2019-02-06,1008408.6235396983
2019-02-07,1009949.3876785629
2019-02-08,994966.1704465807
2019-02-11,976075.9492461077
2019-02-12,974807.0720562459
2019-02-14,956727.4271178843
2019-02-15,956776.5708115939
2019-02-18,944170.3537192179
2019-02-19,942998.5867623892
2019-02-20,951542.8731996989
2019-02-21,962999.9593437428
2019-02-22,962786.5807930286
2019-02-25,971851.9626173972
2019-02-26,974601.2690472981
2019-02-27,968868.1213251727
2019-02-28,966053.7385627889
2019-03-01,968973.7209869815
2019-03-05,980279.7535388389
2019-03-06,984035.856911685
2019-03-07,981455.7726939252
2019-03-08,979348.7926340867
2019-03-11,989913.9821606398
2019-03-12,996453.2195393377
2019-03-13,1002797.9216671563
2019-03-14,1000104.9461195227
2019-03-15,999108.3156835575
2019-03-18,1006979.8396684029
2019-03-19,1015256.1798207831
2019-03-20,1008571.3551667156
2019-03-22,1002885.8071130896
2019-03-25,994858.8482314909
2019-03-26,1006199.7893635316
2019-03-27,1007504.0984259252
2019-03-28,1019817.8691754875
2019-04-01,1028528.382857792
2019-04-02,1028655.7206580348
2019-04-03,1027137.1385574604
2019-04-04,1022899.843208969
2019-04-05,1027366.0032017503
2019-04-08,1025584.0039408375
2019-04-09,1032105.6449311734
2019-04-10,1031092.9701657982
2019-04-11,1034393.9022177557
2019-04-12,1038512.044290138
2019-04-15,1042673.6176701888
2019-04-16,1047373.7808327264
2019-04-18,1044642.4615310766
2019-04-22,1042131.3835516396
2019-04-23,1042277.8194542131
2019-04-24,1051940.7759418203
2019-04-25,1050328.7136061382
2019-04-26,1053524.1197339369
2019-04-30,1051243.3348935419
2019-05-02,1037833.5810684118
2019-05-03,1024494.7409795701
2019-05-06,1021203.3222690012
2019-05-07,1018917.8576002491
2019-05-08,1011160.6048370467
2019-05-09,1008880.7769979918
2019-05-10,1007629.1136849266
2019-05-13,993061.3191466173
2019-05-14,998644.541025039
2019-05-15,1000841.2694706111
2019-05-16,1008034.6162543632
2019-05-17,1022368.7430570676
2019-05-20,1055807.044114803
2019-05-21,1041429.6689756915
2019-05-22,1043756.8916314951
2019-05-23,1043144.4473100537
2019-05-24,1060582.4432168643
2019-05-27,1074938.1637774531
2019-05-28,1073761.565672715
2019-05-29,1067795.336379524
2019-05-30,1073816.045590508
2019-05-31,1075137.0728028102
2019-06-03,1092945.487078609
2019-06-04,1087156.5378367985
2019-06-06,1066251.7748691044
