symbol,sector,weight,rank,confidence,dollars,shares,price
TITAN,Consumer,0.17153959680698364,0.8260869565217391,0.9858779501296079,85769.79840349182,19,4373.60009765625
BPCL,Energy,0.12846040319301644,0.8478260869565217,0.9867784587579695,64230.20159650822,215,298.5
WIPRO,IT,0.10387297735422181,0.9565217391304348,0.9934131997243814,51936.4886771109,259,199.77999877929688
ICICIBANK,Financials,0.09598267542335435,0.9347826086956522,0.9943661445684513,47991.33771167718,38,1251.300048828125
TCS,IT,0.08876023920674558,0.9782608695652174,0.990501093939072,44380.11960337279,18,2427.300048828125
HDFCLIFE,Financials,0.08643475935641157,1.0,0.9908884997416549,43217.37967820578,72,594.0999755859375
BAJAJFINSV,Financials,0.08603275094431029,0.8913043478260869,0.9954702870795349,43016.375472155145,23,1794.5999755859375
INFY,IT,0.08201499190966804,0.8695652173913043,0.9923339199230883,41007.49595483402,34,1178.0999755859375
HDFCBANK,Financials,0.08154981427592374,0.9130434782608695,0.9900782027762712,40774.90713796187,52,772.2999877929688
HCLTECH,IT,0.07535179152936457,0.8043478260869565,0.9911929345392374,37675.89576468228,31,1200.199951171875
