split,train_size,test_size,auc,accuracy,ic,pos_rate_train,pos_rate_test
0,29963,15208,0.5088554372113845,0.5223566543924251,0.01826081469596386,0.5358608951039615,0.533008942661757
1,29425,15208,0.49047828646618485,0.5065097317201472,-0.023227686700852478,0.5380118946474086,0.528603366649132
2,29412,15208,0.5055384950017887,0.5096659652814308,0.012534538113092089,0.533047735618115,0.5369542346133613
3,29415,15208,0.49999956395560774,0.5128879537085744,-0.007774404207215663,0.5241543430222676,0.5458968963703315
4,29871,15211,0.497631305906116,0.5017421602787456,0.00047750105867020646,0.5433363462890429,0.5125895733350865
5,29884,15208,0.5007395637394623,0.5138742766964756,-0.0017583553686510431,0.5355039486012582,0.5326801683324566
6,29333,15208,0.49771908905644713,0.5093371909521305,-0.0034706910829846297,0.5331878771349674,0.5410310362966859
7,29336,15208,0.5211437456623681,0.5297211993687533,0.03677987264843919,0.5242705208617399,0.5499736980536559
8,29792,15211,0.5167384316145514,0.5142331207678653,0.027528731954180218,0.5435016111707841,0.5166655709683782
9,29881,15208,0.5109207669609657,0.5190689110994213,0.0198655792508213,0.5324453666209297,0.536625460284061
10,29333,15208,0.4995239583173288,0.5156496580746975,-0.016718639776516275,0.5257900657962022,0.545568122041031
11,29789,15211,0.48616369245067814,0.4969430017750312,-0.031027715224518262,0.5449998321528081,0.5122608638485306
12,29868,15208,0.5053812340135552,0.5031562335612836,-0.009197083959505959,0.5206240792821749,0.5539189900052603
13,29776,15211,0.5013791760333663,0.5113404772861745,0.006372755524997905,0.5400994089199355,0.5206100848070475
14,30324,15211,0.5091487082762132,0.5166655709683782,0.011791510652168994,0.5338345864661654,0.5295509828413648
