,mean_importance,std_importance,consistent
drawdown_252,4786.670895576477,542.8423225516358,True
autocorr_1,4035.442409110069,435.548268582958,True
vol_60,3834.675866874059,408.44257687087224,True
drawdown_60,3689.6346150875092,425.09299338274917,True
sma_200,3588.5678910891215,275.688331046843,True
skew_60,3518.6217823584875,299.928142229257,True
vwap,3389.5422723770143,334.93455931012437,True
autocorr_5,3240.4945789178214,514.9320505008463,True
sma_50,2828.5212600072223,498.22701292436733,True
dollar_volume_ma_20,2742.190215086937,392.38857750360603,True
obv,2726.519920770327,497.00524612249365,True
vol_gk_20,2610.5046963214872,419.9487461910653,True
close_vs_sma200,2600.6347982962925,382.8885843082617,True
downside_vol_20,2563.290976889928,391.25327589579763,True
sma20_vs_sma50,2540.487650648753,557.1055578885156,True
volume_ma_20,2540.3342681328454,328.6381499365345,True
adx,2362.7998601992927,227.03163099137308,True
vol_ratio_20_60,2330.437337100506,383.13023074499347,True
atr_14,2297.2304783821105,336.4344199967244,True
skew_20,2216.3415367126463,316.60935554625604,True
vol_parkinson_20,2214.770920976003,511.9432046752743,True
kurt_20,2196.0397855758665,399.17044724179215,True
vol_20,2130.384277280172,277.20331942137693,True
ret_60d,2079.0503042141595,465.35401233901786,True
bb_lower,1962.0769425312678,263.27705028157084,True
bb_width,1958.8729289213816,256.20918447004897,True
hl_range_5d_avg,1954.757144443194,409.7768392403774,True
bb_upper,1732.586138812701,323.66097838586774,True
close_vs_vwap,1712.6838404814403,336.8546026008231,True
macd_signal,1665.9694884618123,247.54783600118873,True
mfi_14,1647.6392953395844,209.45648106277247,True
plus_di,1618.0062382062276,307.19732150942,True
atr_pct,1578.6450933218002,197.4333643607994,True
macd_hist,1523.2344234625498,277.5388588162725,True
minus_di,1471.5009495258332,222.14141387790272,True
sma_20,1285.5911983013152,187.71314592957162,True
macd,1181.843701839447,197.24713324871968,True
ema_26,1156.239969698588,192.46953553052953,True
stoch_d,1109.9602638522783,128.27344727669154,True
roc_20,1107.7464823007583,163.31110349883934,True
kc_lower,1097.2589383602142,135.73535241518832,True
roc_10,1072.4203005313873,144.06126480419107,True
tema_10,1047.1085761547088,271.85984070562944,True
rsi_28,1038.1316503842672,275.9086791449013,True
stoch_k,1028.284373029073,254.0314317990344,True
ema_12,1022.047412665685,163.5296820457716,True
cci_20,1018.2375670433045,269.6594199174749,True
log_ret_20,999.1929741382598,186.55525713269148,True
kc_upper,980.5413609663646,121.18209817200659,True
williams_r,881.2531922658285,204.67219709471843,True
volume_roc_10,878.2440455675126,171.33644673817537,True
log_ret_5,797.2689994891484,156.2745509920913,True
log_ret_1,746.1021841049194,145.34564825634365,True
gap,744.745343097051,175.5450742548298,True
bb_pct,724.9102444887161,153.80310341980675,True
volume_ratio,711.1967000881831,184.68786588924917,True
close_vs_sma50,701.4132431825002,109.48018432467175,True
ret_5d,670.1589627583821,172.6332059962092,True
kc_middle,613.5730556646982,143.6186896832135,True
close_vs_sma20,593.0275487422944,124.96261788632074,True
log_volume,573.9802815596263,103.76432840883162,True
rsi_14,542.8784949143727,95.57036953528281,True
hl_range,481.75874661604564,94.95876773127378,True
bb_middle,225.06561589241028,52.81312462051847,True
ret_20d,193.43610099156697,57.21877104737278,True
