symbol,n_samples,mean_auc,std_auc,mean_ic,std_ic,win_rate,class_balance
ADANIPORTS,2585,0.47775157760750064,0.026481022046424482,-0.043163534385888,0.054415375285067666,0.5377016792887718,0.5377016792887718
ASIANPAINT,2585,0.5158148018520433,0.029530416411668012,0.014070579674488666,0.041886207847051486,0.5406651300625618,0.5406651300625618
AXISBANK,2586,0.5403798105416426,0.02648914559495316,0.08221503446451317,0.04768752445313445,0.537372406980573,0.537372406980573
BAJAJFINSV,2586,0.4963216361735049,0.021019867723362128,-0.0044248794202503125,0.033468737302095854,0.553836022390517,0.553836022390517
ICICIBANK,2586,0.4975735315414378,0.02109791595143556,0.0033228108145196096,0.03731304264022381,0.5186038854132368,0.5186038854132368
INFY,2584,0.508174846719209,0.02596662304283689,0.004473385750801417,0.04847351787989678,0.5512018439249259,0.5512018439249259
ITC,2587,0.5194502475553665,0.034859096336094735,0.04596328197897913,0.058935984272677856,0.509384260783668,0.509384260783668
LT,2587,0.48472574906922955,0.02270745594951808,0.00999813617017444,0.040859943287644446,0.534408956206783,0.534408956206783
M&M,2587,0.5079627370400119,0.03384709044263007,0.0187947850674262,0.06700441798961994,0.5242015146526177,0.5242015146526177
MARUTI,2587,0.5017428361867359,0.02132780733521584,0.012730090122870309,0.033595942036362354,0.5403358577543629,0.5403358577543629
NESTLEIND,2588,0.4975685487042421,0.020743137538152587,-0.0224297780657657,0.043723955589705286,0.5301284162001976,0.5301284162001976
NTPC,2585,0.51530948214514,0.03117613597970383,0.02202136910780309,0.047257379470607576,0.5189331577214357,0.5189331577214357
RELIANCE,2586,0.513398383634293,0.0293527047843602,0.03494488058236685,0.047629777867059145,0.5429700362199539,0.5429700362199539
SBILIFE,1664,0.5653240502879421,0.023766232450920147,0.1376657887232571,0.04636498297876572,0.5314420803782506,0.5314420803782506
SUNPHARMA,2585,0.5177838894128063,0.025459224382421815,0.014577987985958493,0.044336805571003716,0.5377016792887718,0.5377016792887718
TCS,2587,0.5339169596620531,0.03258725995782965,0.06703059662431832,0.059788541878107976,0.5271649654264077,0.5271649654264077
TECHM,2586,0.4855051865589039,0.021592382202332817,-0.03032522047437137,0.04303326522818165,0.5301284162001976,0.5301284162001976
WIPRO,2586,0.48888703787641413,0.022351726320553673,-0.011926129807006301,0.046528648180105575,0.5294698715837998,0.5294698715837998
