,mean_importance
skew_60,485.724368211627
autocorr_5,467.9478467875056
volume_ma_20,446.6125057750278
drawdown_60,443.273361175259
adx,436.3161391721831
skew_20,429.7677200580636
autocorr_1,426.50095145685805
sma_200,426.2954209958514
drawdown_252,414.21221342451037
downside_vol_20,405.35032966832324
vwap,404.8013867364989
sma20_vs_sma50,380.9599410519004
kurt_20,362.0467716382609
vol_ratio_20_60,353.9136597593625
sma_50,342.7339679297474
bb_width,342.08625054491887
hl_range_5d_avg,332.97528485258425
ret_60d,307.1165682804253
vol_60,306.8120104703638
vol_20,296.9416883862681
dollar_volume_ma_20,296.1794438772731
atr_14,290.9413853565852
mfi_14,287.02088860140907
vol_parkinson_20,282.29409026172425
obv,282.1007485628128
macd_hist,280.6891392535634
minus_di,265.8981370064948
macd_signal,260.15119457708465
close_vs_sma200,255.4781775825554
plus_di,241.78872747470936
bb_lower,233.28356686962977
vol_gk_20,232.32719837824504
bb_upper,226.36030927863385
stoch_d,225.30980020032987
cci_20,206.76115921735763
macd,200.16771792040933
close_vs_vwap,192.74344295337792
atr_pct,191.07896597484748
williams_r,183.2170196428274
log_ret_1,179.10641534129778
log_ret_5,178.40333499444856
roc_20,176.09887649528685
roc_10,172.28718140290843
volume_roc_10,171.8202230055299
stoch_k,163.38330164353053
sma_20,158.26175818343958
gap,157.28157379097408
log_volume,139.3087989072005
volume_ratio,138.79325167867873
hl_range,137.9243032217026
tema_10,136.90424685610665
bb_pct,135.9466731859992
kc_lower,130.31758986910185
kc_upper,129.43228259881337
close_vs_sma50,127.8625098850992
rsi_28,127.11173004267944
ema_26,120.66971344020634
rsi_14,118.50619824247228
ema_12,115.66191106173727
close_vs_sma20,113.95432455672159
log_ret_20,98.81626681685448
ret_5d,98.42564236389266
kc_middle,78.90708259708352
bb_middle,32.496636052926384
ret_20d,20.58897859338257
